file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2018-11-18-10-38_seed_9783.png	9783	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-38_seed_8198.png	8198	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-38_seed_9778.png	9778	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-38_seed_4728.png	4728	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-38_seed_3964.png	3964	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-39_seed_721.png	721	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-39_seed_7448.png	7448	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-39_seed_370.png	370	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-39_seed_9527.png	9527	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-39_seed_7813.png	7813	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-53_seed_4024.png	4024	rnorm(1, -1, 1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-53_seed_9882.png	9882	rnorm(1, -1, 1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-53_seed_9010.png	9010	rnorm(1, -1, 1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-53_seed_7000.png	7000	rnorm(1, -1, 1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-53_seed_9205.png	9205	rnorm(1, -1, 1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-18-10-55_seed_3203.png	3203	rbinom(1, -1, 0.1) * x_i^2 - sin(y_i^2)	rbinom(1, -1, 0.1) * y_i^3 - cos(x_i^2)
2018-11-18-10-55_seed_7382.png	7382	rnorm(1, -1, 0.1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 0.1) * y_i^3 - cos(x_i^2)
2018-11-18-10-55_seed_7095.png	7095	rnorm(1, -1, 0.1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 0.1) * y_i^3 - cos(x_i^2)
2018-11-18-10-55_seed_9030.png	9030	rnorm(1, -1, 0.1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 0.1) * y_i^3 - cos(x_i^2)
2018-11-18-10-56_seed_2456.png	2456	rnorm(1, -1, 0.1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 0.1) * y_i^3 - cos(x_i^2)
2018-11-18-10-56_seed_7323.png	7323	rnorm(1, -1, 0.1) * x_i^2 - sin(y_i^2)	rnorm(1, -1, 0.1) * y_i^3 - cos(x_i^2)
